# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: D:\Saxion\Final_Embedded_Systems\ADC_HDMI_potmeter_met_scherm_magistraal_met_pongbars_van_beide_ADC\ADC_van_stack\DE10_NANO_ADC.csv
# Generated on: Tue Jan 28 11:43:55 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
GPIO_0[30],Unknown,PIN_AB25,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[31],Unknown,PIN_AB26,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[32],Unknown,PIN_Y11,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[33],Unknown,PIN_AA26,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[34],Unknown,PIN_AA13,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[35],Unknown,PIN_AA11,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[0],Unknown,PIN_Y15,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[1],Unknown,PIN_AC24,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[2],Unknown,PIN_AA15,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[3],Unknown,PIN_AD26,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[4],Unknown,PIN_AG28,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[5],Unknown,PIN_AF28,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[6],Unknown,PIN_AE25,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[7],Unknown,PIN_AF27,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[8],Unknown,PIN_AG26,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[9],Unknown,PIN_AH27,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[10],Unknown,PIN_AG25,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[11],Unknown,PIN_AH26,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[12],Unknown,PIN_AH24,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[13],Unknown,PIN_AF25,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[14],Unknown,PIN_AG23,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[15],Unknown,PIN_AF23,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[16],Unknown,PIN_AG24,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[17],Unknown,PIN_AH22,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[18],Unknown,PIN_AH21,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[19],Unknown,PIN_AG21,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[20],Unknown,PIN_AH23,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[21],Unknown,PIN_AA20,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[22],Unknown,PIN_AF22,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[23],Unknown,PIN_AE22,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[24],Unknown,PIN_AG20,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[25],Unknown,PIN_AF21,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[26],Unknown,PIN_AG19,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[27],Unknown,PIN_AH19,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[28],Unknown,PIN_AG18,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[29],Unknown,PIN_AH18,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[30],Unknown,PIN_AF18,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[31],Unknown,PIN_AF20,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[32],Unknown,PIN_AG15,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[33],Unknown,PIN_AE20,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[34],Unknown,PIN_AE19,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[35],Unknown,PIN_AE17,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_MCLK,Unknown,PIN_U11,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
LED[0],Unknown,PIN_W15,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
LED[1],Unknown,PIN_AA24,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
LED[2],Unknown,PIN_V16,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
LED[3],Unknown,PIN_V15,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
LED[4],Unknown,PIN_AF26,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
LED[5],Unknown,PIN_AE26,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
LED[6],Unknown,PIN_Y16,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
LED[7],Unknown,PIN_AA23,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_CONV_USB_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_DDR3_ADDR[0],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[1],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[2],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[3],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[4],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[5],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[6],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[7],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[8],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[9],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[10],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[11],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[12],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[13],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ADDR[14],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_BA[0],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_BA[1],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_BA[2],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_CAS_N,Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_CKE,Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_CK_N,Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_P,,,,,,,,,
HPS_DDR3_CK_P,Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_N,,,,,,,,,
HPS_DDR3_CS_N,Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[0],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[1],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[2],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[3],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[0],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[1],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[2],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[3],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[4],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[5],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[6],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[7],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[8],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[9],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[10],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[11],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[12],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[13],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[14],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[15],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[16],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[17],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[18],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[19],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[20],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[21],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[22],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[23],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[24],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[25],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[26],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[27],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[28],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[29],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[30],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[31],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQS_N[0],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0](n),,,,,,,,,
HPS_DDR3_DQS_N[0](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0],,,,,,,,,
HPS_DDR3_DQS_N[1],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1](n),,,,,,,,,
HPS_DDR3_DQS_N[1](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1],,,,,,,,,
HPS_DDR3_DQS_N[2],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2](n),,,,,,,,,
HPS_DDR3_DQS_N[2](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2],,,,,,,,,
HPS_DDR3_DQS_N[3],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3](n),,,,,,,,,
